Day,January,February,March,April,May,June,July,August,September,October,November,December
1,85.0,64.0,42.0,57.0,64.0,64.0,58.0,52.0,71.0,50.0,48.0,59.0
2,74.0,88.0,78.0,71.0,48.0,64.0,53.0,55.0,68.0,41.0,41.0,68.0
3,63.0,83.0,83.0,83.0,46.0,56.0,43.0,59.0,63.0,33.0,48.0,81.0
4,64.0,84.0,72.0,64.0,51.0,44.0,60.0,53.0,59.0,41.0,89.0,90.0
5,43.0,104.0,73.0,66.0,42.0,44.0,51.0,67.0,52.0,45.0,150.0,120.0
6,38.0,109.0,67.0,68.0,43.0,72.0,47.0,59.0,51.0,45.0,52.0,100.0
7,44.0,110.0,64.0,63.0,65.0,74.0,55.0,61.0,46.0,51.0,49.0,95.0
8,41.0,74.0,49.0,82.0,51.0,50.0,56.0,62.0,52.0,55.0,93.0,59.0
9,86.0,86.0,76.0,67.0,56.0,52.0,56.0,53.0,59.0,59.0,92.0,36.0
10,94.0,96.0,50.0,66.0,41.0,70.0,54.0,51.0,58.0,55.0,90.0,48.0
11,92.0,95.0,42.0,67.0,49.0,75.0,52.0,62.0,63.0,62.0,60.0,39.0
12,74.0,72.0,43.0,53.0,72.0,62.0,54.0,67.0,63.0,63.0,64.0,39.0
13,122.0,80.0,54.0,55.0,85.0,46.0,69.0,66.0,52.0,67.0,52.0,42.0
14,85.0,65.0,53.0,60.0,94.0,47.0,68.0,65.0,58.0,65.0,58.0,52.0
15,96.0,67.0,56.0,46.0,62.0,50.0,41.0,68.0,55.0,60.0,52.0,70.0
16,85.0,69.0,53.0,51.0,49.0,65.0,48.0,74.0,62.0,71.0,64.0,101.0
17,63.0,86.0,48.0,54.0,59.0,75.0,50.0,65.0,62.0,48.0,37.0,123.0
18,58.0,81.0,61.0,43.0,70.0,86.0,57.0,66.0,61.0,74.0,40.0,126.0
19,85.0,83.0,82.0,51.0,62.0,90.0,50.0,56.0,59.0,78.0,39.0,102.0
20,102.0,88.0,98.0,54.0,53.0,81.0,56.0,52.0,48.0,78.0,47.0,120.0
21,104.0,38.0,70.0,52.0,59.0,81.0,58.0,60.0,53.0,84.0,45.0,162.0
22,58.0,46.0,66.0,49.0,71.0,70.0,64.0,47.0,72.0,51.0,56.0,149.0
23,53.0,72.0,93.0,48.0,103.0,86.0,59.0,56.0,61.0,46.0,48.0,171.0
24,75.0,89.0,108.0,42.0,71.0,69.0,59.0,64.0,66.0,46.0,55.0,102.0
25,63.0,78.0,120.0,46.0,65.0,77.0,69.0,58.0,56.0,63.0,56.0,99.0
26,70.0,67.0,98.0,46.0,56.0,95.0,53.0,63.0,55.0,94.0,49.0,87.0
27,91.0,63.0,73.0,64.0,68.0,56.0,60.0,58.0,51.0,118.0,36.0,88.0
28,145.0,46.0,58.0,64.0,65.0,55.0,65.0,62.0,53.0,118.0,36.0,62.0
29,130.0,,45.0,64.0,67.0,63.0,68.0,47.0,79.0,91.0,40.0,73.0
30,116.0,,54.0,53.0,62.0,54.0,71.0,60.0,69.0,56.0,47.0,65.0
31,78.0,,57.0,,60.0,,70.0,62.0,,50.0,,70.0
 ,,,,,,,,,,,,
Good,4.0,3.0,7.0,7.0,7.0,6.0,6.0,2.0,2.0,10.0,15.0,5.0
Satisfactory,21.0,22.0,22.0,23.0,23.0,24.0,25.0,29.0,28.0,19.0,14.0,16.0
Moderate,6.0,3.0,2.0,,1.0,,,,,2.0,1.0,10.0
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,60.0,95.0,68.0,45.0,58.0,69.0,63.0,61.0,62.0,70.0,59.0,132.0
2,49.0,75.0,84.0,42.0,89.0,75.0,53.0,61.0,48.0,73.0,50.0,77.0
3,68.0,63.0,82.0,44.0,84.0,75.0,65.0,56.0,58.0,90.0,59.0,50.0
4,77.0,58.0,92.0,41.0,58.0,83.0,64.0,84.0,58.0,101.0,56.0,64.0
5,78.0,62.0,72.0,34.0,91.0,71.0,52.0,57.0,55.0,129.0,44.0,127.0
6,66.0,59.0,64.0,44.0,56.0,62.0,52.0,49.0,57.0,96.0,58.0,203.0
7,61.0,67.0,60.0,49.0,80.0,62.0,62.0,54.0,73.0,88.0,105.0,238.0
8,42.0,83.0,82.0,42.0,78.0,68.0,65.0,49.0,61.0,114.0,82.0,203.0
9,50.0,68.0,96.0,43.0,94.0,67.0,70.0,64.0,74.0,67.0,74.0,115.0
10,48.0,85.0,86.0,46.0,81.0,60.0,60.0,68.0,59.0,61.0,58.0,40.0
11,45.0,69.0,80.0,42.0,71.0,69.0,50.0,70.0,62.0,53.0,46.0,45.0
12,50.0,95.0,90.0,35.0,61.0,65.0,51.0,62.0,70.0,58.0,44.0,49.0
13,57.0,110.0,89.0,36.0,61.0,64.0,,66.0,72.0,61.0,38.0,46.0
14,39.0,114.0,97.0,39.0,69.0,54.0,53.0,65.0,70.0,56.0,43.0,58.0
15,37.0,98.0,110.0,35.0,69.0,54.0,60.0,63.0,81.0,63.0,96.0,72.0
16,41.0,91.0,103.0,38.0,52.0,56.0,69.0,60.0,83.0,51.0,121.0,97.0
17,49.0,100.0,116.0,50.0,57.0,54.0,47.0,56.0,69.0,53.0,142.0,123.0
18,56.0,91.0,93.0,47.0,57.0,52.0,61.0,57.0,65.0,66.0,170.0,120.0
19,79.0,68.0,63.0,45.0,57.0,63.0,79.0,63.0,62.0,74.0,108.0,88.0
20,92.0,112.0,96.0,40.0,71.0,58.0,76.0,69.0,65.0,73.0,120.0,110.0
21,90.0,105.0,94.0,39.0,79.0,55.0,70.0,71.0,85.0,66.0,84.0,120.0
22,78.0,87.0,102.0,44.0,85.0,59.0,52.0,43.0,69.0,82.0,74.0,124.0
23,69.0,62.0,77.0,38.0,56.0,63.0,65.0,48.0,66.0,109.0,62.0,172.0
24,55.0,58.0,66.0,43.0,73.0,64.0,55.0,49.0,71.0,193.0,75.0,193.0
25,70.0,70.0,60.0,47.0,61.0,62.0,70.0,62.0,65.0,228.0,98.0,73.0
26,44.0,68.0,56.0,52.0,67.0,64.0,54.0,61.0,73.0,147.0,86.0,34.0
27,50.0,71.0,55.0,43.0,67.0,66.0,70.0,50.0,74.0,105.0,108.0,38.0
28,68.0,62.0,47.0,45.0,72.0,76.0,49.0,49.0,83.0,59.0,120.0,59.0
29,105.0,,44.0,61.0,68.0,84.0,51.0,60.0,83.0,70.0,142.0,57.0
30,105.0,,45.0,46.0,58.0,77.0,50.0,70.0,74.0,74.0,153.0,65.0
31,105.0,,45.0,,68.0,,58.0,49.0,,88.0,,67.0
 ,,,,,,,,,,,,
Good,12.0,,4.0,28.0,,,4.0,8.0,1.0,,6.0,7.0
Satisfactory,16.0,24.0,23.0,2.0,31.0,30.0,26.0,23.0,29.0,23.0,14.0,11.0
Moderate,3.0,4.0,4.0,,,,,,,7.0,10.0,10.0
Poor,,,,,,,,,,1.0,,3.0
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,1.0,,,,,
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0
1,104.0,101.0,85.0,65.0,59.0,82.0,61.0,79.0,71.0,57.0,93.0,42.0
2,76.0,81.0,92.0,54.0,58.0,90.0,75.0,99.0,77.0,46.0,61.0,65.0
3,86.0,95.0,118.0,72.0,59.0,92.0,58.0,95.0,63.0,56.0,57.0,46.0
4,99.0,101.0,113.0,53.0,59.0,80.0,56.0,87.0,53.0,68.0,59.0,36.0
5,80.0,113.0,91.0,53.0,62.0,88.0,64.0,79.0,70.0,77.0,33.0,
6,95.0,108.0,93.0,53.0,64.0,70.0,66.0,78.0,63.0,76.0,40.0,
7,101.0,92.0,91.0,42.0,66.0,72.0,82.0,56.0,71.0,73.0,49.0,38.0
8,184.0,95.0,74.0,54.0,65.0,73.0,63.0,66.0,51.0,52.0,73.0,57.0
9,118.0,96.0,87.0,56.0,67.0,69.0,73.0,79.0,83.0,47.0,69.0,70.0
10,140.0,91.0,93.0,60.0,58.0,67.0,48.0,82.0,63.0,52.0,83.0,88.0
11,125.0,99.0,94.0,69.0,82.0,67.0,52.0,61.0,54.0,70.0,115.0,82.0
12,111.0,136.0,90.0,83.0,111.0,54.0,76.0,74.0,63.0,55.0,178.0,70.0
13,106.0,136.0,85.0,103.0,89.0,58.0,69.0,69.0,57.0,79.0,245.0,114.0
14,147.0,120.0,90.0,98.0,101.0,73.0,78.0,54.0,81.0,69.0,111.0,87.0
15,77.0,105.0,104.0,74.0,92.0,84.0,77.0,67.0,55.0,75.0,66.0,110.0
16,65.0,131.0,61.0,78.0,83.0,78.0,81.0,71.0,54.0,73.0,90.0,92.0
17,71.0,134.0,61.0,84.0,88.0,78.0,78.0,77.0,62.0,79.0,97.0,74.0
18,95.0,126.0,54.0,72.0,71.0,66.0,96.0,61.0,45.0,109.0,57.0,77.0
19,115.0,75.0,51.0,75.0,83.0,50.0,87.0,65.0,50.0,120.0,50.0,100.0
20,124.0,74.0,46.0,70.0,76.0,57.0,88.0,62.0,59.0,97.0,50.0,96.0
21,120.0,97.0,48.0,73.0,65.0,62.0,107.0,65.0,64.0,90.0,55.0,140.0
22,114.0,98.0,55.0,65.0,68.0,76.0,101.0,68.0,54.0,82.0,45.0,172.0
23,97.0,111.0,43.0,60.0,75.0,73.0,61.0,74.0,56.0,109.0,49.0,138.0
24,72.0,78.0,55.0,64.0,72.0,62.0,67.0,65.0,49.0,121.0,41.0,130.0
25,100.0,86.0,41.0,51.0,67.0,73.0,66.0,78.0,49.0,127.0,46.0,88.0
26,159.0,98.0,39.0,62.0,79.0,76.0,58.0,68.0,71.0,120.0,72.0,77.0
27,105.0,98.0,42.0,75.0,75.0,64.0,64.0,73.0,84.0,102.0,51.0,74.0
28,113.0,84.0,54.0,58.0,86.0,60.0,93.0,78.0,49.0,67.0,44.0,70.0
29,132.0,,58.0,54.0,76.0,76.0,96.0,66.0,57.0,60.0,43.0,66.0
30,85.0,,56.0,59.0,70.0,57.0,85.0,88.0,57.0,65.0,41.0,71.0
31,96.0,,63.0,,83.0,,74.0,69.0,,129.0,,93.0
 ,,,,,,,,,,,,
Good,,,6.0,1.0,,1.0,1.0,,5.0,2.0,12.0,4.0
Satisfactory,14.0,16.0,22.0,28.0,29.0,29.0,28.0,31.0,25.0,21.0,14.0,19.0
Moderate,17.0,12.0,3.0,1.0,2.0,,2.0,,,8.0,3.0,6.0
Poor,,,,,,,,,,,1.0,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,2.0
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0
1,142.0,55.0,83.0,46.0,59.0,74.0,57.0,78.0,44.0,46.0,142.0,24.0
2,101.0,39.0,101.0,56.0,54.0,65.0,70.0,89.0,42.0,55.0,71.0,40.0
3,119.0,69.0,80.0,64.0,62.0,65.0,72.0,72.0,50.0,52.0,72.0,53.0
4,107.0,72.0,84.0,66.0,60.0,65.0,57.0,60.0,44.0,69.0,56.0,45.0
5,92.0,72.0,76.0,62.0,57.0,59.0,63.0,65.0,62.0,58.0,90.0,38.0
6,71.0,88.0,90.0,59.0,59.0,59.0,71.0,72.0,55.0,70.0,107.0,56.0
7,66.0,109.0,81.0,65.0,61.0,62.0,59.0,68.0,67.0,51.0,51.0,44.0
8,67.0,93.0,83.0,62.0,62.0,99.0,48.0,64.0,48.0,44.0,50.0,49.0
9,80.0,83.0,90.0,62.0,46.0,65.0,57.0,55.0,56.0,35.0,57.0,75.0
10,81.0,85.0,78.0,75.0,51.0,97.0,68.0,72.0,55.0,37.0,85.0,89.0
11,94.0,100.0,77.0,63.0,56.0,74.0,69.0,72.0,62.0,51.0,99.0,76.0
12,114.0,69.0,77.0,61.0,50.0,64.0,73.0,72.0,58.0,30.0,60.0,46.0
13,136.0,68.0,85.0,62.0,67.0,72.0,54.0,75.0,53.0,30.0,42.0,80.0
14,231.0,63.0,88.0,79.0,56.0,65.0,63.0,76.0,51.0,36.0,44.0,96.0
15,176.0,88.0,76.0,67.0,62.0,76.0,54.0,81.0,50.0,45.0,45.0,81.0
16,113.0,84.0,67.0,69.0,55.0,77.0,48.0,62.0,47.0,50.0,53.0,99.0
17,78.0,84.0,54.0,77.0,59.0,62.0,67.0,66.0,51.0,43.0,124.0,97.0
18,76.0,87.0,52.0,54.0,68.0,64.0,62.0,82.0,49.0,66.0,124.0,120.0
19,74.0,86.0,62.0,57.0,63.0,60.0,68.0,65.0,72.0,64.0,126.0,85.0
20,81.0,100.0,83.0,58.0,62.0,54.0,69.0,60.0,92.0,51.0,112.0,47.0
21,79.0,98.0,67.0,64.0,66.0,58.0,95.0,82.0,63.0,44.0,114.0,50.0
22,72.0,89.0,70.0,56.0,51.0,60.0,94.0,51.0,56.0,55.0,134.0,41.0
23,99.0,82.0,73.0,58.0,70.0,57.0,93.0,53.0,51.0,69.0,138.0,46.0
24,123.0,72.0,71.0,58.0,70.0,59.0,69.0,49.0,59.0,102.0,88.0,39.0
25,108.0,69.0,63.0,56.0,77.0,65.0,68.0,59.0,58.0,102.0,114.0,44.0
26,108.0,64.0,64.0,60.0,85.0,61.0,73.0,47.0,56.0,92.0,129.0,41.0
27,95.0,65.0,69.0,64.0,86.0,60.0,77.0,51.0,67.0,119.0,133.0,36.0
28,96.0,72.0,64.0,58.0,97.0,59.0,78.0,49.0,72.0,131.0,134.0,55.0
29,122.0,77.0,58.0,43.0,102.0,68.0,80.0,47.0,51.0,90.0,103.0,79.0
30,122.0,,58.0,55.0,84.0,67.0,77.0,45.0,44.0,117.0,64.0,96.0
31,98.0,,58.0,,85.0,,75.0,41.0,,213.0,,104.0
 ,,,,,,,,,,,,
Good,,1.0,,2.0,2.0,,2.0,6.0,9.0,11.0,4.0,15.0
Satisfactory,17.0,27.0,30.0,28.0,28.0,30.0,29.0,25.0,21.0,14.0,12.0,14.0
Moderate,13.0,1.0,1.0,,1.0,,,,,5.0,14.0,2.0
Poor,1.0,,,,,,,,,1.0,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,148.0,56.0,65.0,,,,,,,,,
2,113.0,60.0,46.0,,,,,,,,,
3,114.0,63.0,58.0,,,,,,,,,
4,152.0,76.0,50.0,,,,,,,,,
5,152.0,87.0,54.0,,,,,,,,,
6,151.0,88.0,64.0,,,,,,,,,
7,144.0,122.0,134.0,,,,,,,,,
8,121.0,128.0,101.0,,,,,,,,,
9,120.0,104.0,84.0,,,,,,,,,
10,121.0,118.0,56.0,,,,,,,,,
11,73.0,103.0,62.0,,,,,,,,,
12,79.0,91.0,77.0,,,,,,,,,
13,99.0,83.0,77.0,,,,,,,,,
14,50.0,65.0,55.0,,,,,,,,,
15,36.0,70.0,41.0,,,,,,,,,
16,70.0,68.0,51.0,,,,,,,,,
17,122.0,82.0,55.0,,,,,,,,,
18,108.0,104.0,49.0,,,,,,,,,
19,61.0,92.0,41.0,,,,,,,,,
20,83.0,72.0,46.0,,,,,,,,,
21,112.0,68.0,46.0,,,,,,,,,
22,110.0,70.0,52.0,,,,,,,,,
23,93.0,63.0,52.0,,,,,,,,,
24,62.0,71.0,64.0,,,,,,,,,
25,76.0,70.0,66.0,,,,,,,,,
26,67.0,88.0,70.0,,,,,,,,,
27,73.0,85.0,77.0,,,,,,,,,
28,107.0,81.0,93.0,,,,,,,,,
29,135.0,,66.0,,,,,,,,,
30,106.0,,67.0,,,,,,,,,
31,69.0,,66.0,,,,,,,,,
 ,,,,,,,,,,,,
Good,2.0,,7.0,,,,,,,,,
Satisfactory,12.0,22.0,22.0,,,,,,,,,
Moderate,17.0,6.0,2.0,,,,,,,,,
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,,,,,,,,
